tic,conm,cik,sic
MDIA,MEDIACO HOLDING INC,1784254,4832
PRCH,PORCH GROUP INC,1784535,6331
HCDIQ,HARBOR CUSTOM DEV INC,1784567,1531
BRMK,BROADMARK REALTY CAPITAL INC,1784797,6798
SHPWQ,SHAPEWAYS HOLDINGS INC,1784851,2750
NXTT,NEXT TECHNOLOGY HOLDING INC,1784970,7370
CHPM,CHP MERGER CORP,1785041,9995
TRNR,INTERACTIVE STRENGTH INC,1785056,3949
ETNB,89BIO INC,1785173,2836
MGX,METAGENOMI THERAPEUTICS INC,1785279,2836
LABP,LANDOS BIOPHARMA INC,1785345,2834
KPLT,KATAPULT HOLDINGS INC,1785424,6141
HOWL,WEREWOLF THERAPTCS INC,1785530,2836
ZCMD,ZHONGCHAO INC,1785566,8200
LFLH,LEAFLY HOLDINGS INC,1785592,7370
BVC,BITVENTURES LTD,1785680,6282
TRIN,TRINITY CAPITAL INC,1786108,6797
PINE,ALPINE INCOME PROPERTY TRUST,1786117,6798
FHSEY,FIRST HIGH-SCHOL EDU GP -ADR,1786182,8200
ACLX,ARCELLX INC,1786205,2836
NREF,NEXPOINT REAL EST FIN,1786248,6798
ICVX,ICOSAVAX INC,1786255,2836
DPRO,DRAGANFLY INC,1786286,3829
BILL,BILL HOLDINGS INC,1786352,7370
REYN,REYNOLDS CONSUMER PRODUCTS,1786431,2673
FREHY,FRESH2 GROUP LTD -ADS,1786511,2836
VNT,VONTIER CORP,1786842,3829
SBSW,SIBANYE-STILLWATER LIMITED,1786909,1090
CNNB,CINCINNATI BANCORP,1787005,6035
PASG,PASSAGE BIO INC,1787297,2836
ARQT,ARCUTIS BIOTHERAPEUTICS INC,1787306,2834
FFBW,FFBW INC,1787384,6035
NKTX,NKARTA INC,1787400,2836
BSBK,BOGOTA FINANCIAL CORP,1787414,6036
XP,XP INC,1787425,6211
NUKK,NUKKLEUS INC,1787518,7372
CNVY,CONVEY HEALTH SOL HLDNGS INC,1787640,7370
TIVC,TIVIC HEALTH SYSTEMS INC,1787740,3845
JIH,JUNIPER INDUSTRIAL HLD,1787791,9995
WNW,MEIWU TECHNOLOGY COMPANY LTD,1787803,2844
XHG,XCHANGE TEC.INC -ADR,1788016,6411
JSPR,JASPER THERAPEUTICS INC,1788028,2836
IPST,HERITAGE DISTILNG HLD CO INC,1788230,2085
BWMX,BETTERWARE DE MEXICO S A P,1788257,5961
BIPC,BROOKFIELD INFRASTRCTR,1788348,4932
FXLV,F45 TRAINING HLDNGS INC,1788717,7990
MCOM,MICROMOBILITY.COM INC,1788841,7370
ROOT,ROOT INC,1788882,6331
XPER,XPERI INC,1788999,7372
AEVA,AEVA TECHNOLOGIES INC,1789029,3829
NITO,N2OFF INC,1789192,2870
WTO,UTIME LTD,1789299,3663
CIIC,CIIG MERGER CORP,1789760,9995
TIL,INSTIL BIO INC,1789769,2836
HESM,HESS MIDSTREAM LP,1789832,1311
FWRG,FIRST WATCH RESTAURA GRO INC,1789940,5812
CGEM,CULLINAN THERAPEUTICS INC,1789972,2836
FLGC,FLORA GRWT CORP,1790169,5122
IMRX,IMMUNEERING CORP,1790340,2836
EQOSQ,EQONEX LIMITED,1790515,6200
AGILQ,AGILETHOUGHT INC,1790625,7371
GNRSQ,GREENROSE HLDG CO INC (THE),1790665,2833
ARNC,ARCONIC CORP,1790982,3350
TLMD,SOC TELEMED INC,1791091,7370
BLCT,BLUECITY HOLDI LI -ADR,1791278,7370
LI,LI AUTO INC,1791706,3711
HUDI,HUADI INTER GRO CO LTD,1791725,3317
BEPC,BROOKFIELD RENEWABLE CORP,1791863,4911
IMCC,IM CANNABIS CORP,1792030,2834
VTRS,VIATRIS INC,1792044,2834
BNR,BURNING ROCK BIOTECH LIMITED,1792267,2835
OVV,OVINTIV INC,1792580,1311
KRBPQ,KIROMIC BIOPHARMA INC,1792581,2836
JTKWY,JUST EAT TAKEAWAY.COM N.V.,1792627,5961
CURV,TORRID HOLDINGS INC,1792781,5961
DASH,DOORDASH INC,1792789,7370
VSTA,VASTA PLATFORM LTD,1792829,8200
HPK,HIGHPEAK ENERGY INC,1792849,1311
CTEV,CLARITEV CORP,1793229,7372
PPD,PPD INC,1793294,8731
RSI,RUSH STREET INTERACTIVE INC,1793659,7990
VTEX,VTEX,1793663,7370
ASGI,ABRDN GLBL INFRAS INCOME FD,1793855,6726
DADA,DADA NEXUS LIMITED,1793862,5960
CDTG,CDT ENVIRN TECH INVE HOL LTD,1793895,4950
IGIC,INTERNATIONAL GEN INS HL LTD,1794338,6331
YALA,YALLA GROUP LIMITED,1794350,7370
GTM,ZOOMINFO TECHNO INC,1794515,7370
QNGYQ,QUANERGY SYSTEMS INC,1794621,3812
FOUR,SHIFT4 PAYMENTS INC,1794669,7389
SCVX,SCVX CORP,1794717,9995
PSBD,PALMER SQUARE CAPTAL BDC INC,1794776,6797
SLQT,SELECTQUOTE INC,1794783,6411
ATCO,ATLAS CORP,1794846,7359
CYXTQ,CYXTERA TECHNOLOGIES INC,1794905,7370
OSTX,OS THERAPIES INC,1795091,2836
SPHR,SPHERE ENTERTAINMENT CO,1795250,4841
NNOX,NANO X IMAGING LTD,1795251,8011
CALT,CALLIDITAS THERAPE,1795579,2834
KC,KINGSOFT CLOUD HOLDINGS LTD,1795589,7370
BCAL,CALIFORNIA BANCRP,1795815,6020
STEP,STEPSTONE GROUP INC,1796022,6282
VZLA,VIZSLA SILVER CORP,1796073,1000
VINC,VINCERX PHARMA INC,1796129,2836
APG,API GROUP CORP,1796209,1700
ORIC,ORIC PHARMACEUTICALS,1796280,2836
ROCH,ROTH CH ACQUISITION I,1796303,9995
ALIZY,ALLIANZ SE,1796335,6331
BTCT,BTC DIGITAL LTD,1796514,7370
MAXN,MAXEON SOLAR TECHNOLOGIES,1796898,3674
WSTM,HRSOFT INC,1796911,7372
PTK,PTK ACQUISITION CORP,1797099,9995
KNTE,KINNATE BIOPHARMA INC,1797768,2836
NTST,NETSTREIT CORP,1798100,6798
IONM,ASSURE HOLDINGS CORP,1798270,8090
TMC,TMC THE METALS CO INC,1798562,1000
JBIO,JADE BIOSCIENCES INC,1798749,2836
LUCD,LUCID DIAGNOSTICS INC,1799011,3845
TOI,ONCOLOGY INSTITUTE INC (THE),1799191,8011
AUNA,AUNA S A,1799207,8062
DNB,DUN & BRADSTREET HOLDNGS INC,1799208,7323
EBON,EBANG INTERNATIONAL HOLDINGS,1799290,6200
GAN,GAN LTD,1799332,7370
ALGS,ALIGOS THERAPEUTICS INC,1799448,2836
CGRO.2,COLLECTIVE GROWTH CORP,1799611,9995
GLSI,GREENWICH LIFESCIE INC,1799788,2836
RCOR,RENOVACOR INC,1799850,2836
GB,GLOBAL BLUE GROUP HOLDING AG,1799983,7374
IAC,IAC INC,1800227,7370
GLTO,GALECTO INC,1800315,2836
ETWO,E2OPEN PARENT HOLDINGS INC,1800347,7370
MLGO,MICROALGO INC,1800392,7371
RYM,RYTHM INC,1800637,3523
FROG,JFROG LTD,1800667,7372
CANOQ,CANO HEALTH INC,1800682,8062
ANAT,AMERICAN NATIONAL GROUP-OLD,1801075,6311
OPEN,OPENDOOR TECHNOLOGIES INC,1801169,6531
CLOV,CLOVER HEALTH INVESTMENTS,1801170,6324
LEGN,LEGEND BIOTEC COR -ADR,1801198,2836
MP,MP MATERIALS CORP,1801368,1090
SBIG,SPRINGBIG HOLDINGS INC,1801602,7370
SKLZ,SKILLZ INC,1801661,7370
TIG,TREAN INSURANCE GR INC,1801754,6331
AMTI,APPLIED MOLEC TRAN INC,1801777,2836
PRFX,PAINREFORM LTD,1801834,2834
XPOF,XPONENTIAL FITNESS INC,1802156,7990
GRDN,GUARDIAN PHARMACY SERVIS INC,1802255,8000
MSPR,MSP RECOVERY INC,1802450,8090
ORGN,ORIGIN MATERIALS INC,1802457,2821
HRMY,HARMONY BIOSC HOLD INC,1802665,2834
ZEVY,LIGHTNING EMOTORS INC,1802749,3711
RPRX,ROYALTY PHARMA PLC,1802768,2834
API,AGORA INC,1802883,7370
AVO,MISSION PRODUCE INC,1802974,5140
TDCX,TDCX INC -ADS,1803112,8742
OST,OSTIN TECHNOLOGY GROU CO LTD,1803407,3679
CNXC,CONCENTRIX CORP,1803599,7374
ADEA,ADEIA INC,1803696,7372
EHAB,ENHABIT INC,1803737,8082
TALK,TALKSPACE INC,1803901,8090
PLBY,PLAYBOY INC,1803914,2300
BFLY,BUTTERFLY NETWORK INC,1804176,3845
GFAI,GUARDFORCE AI CO LTD,1804469,7381
RAASY,CLOOPEN GROUP LTD -ADR,1804583,7370
MEHCQ,CHROME HOLDING CO,1804591,8071
DRVN,DRIVEN BRANDS HOLDINGS INC,1804745,7500
VTRU,VITRU BRASIL EMPREENDIMENTOS,1805012,8200
EOSE,EOS ENERGY ENTERPRISES INC,1805077,3690
GLSHQ,GELESIS HOLDINGS INC,1805087,2836
RKT,ROCKET COS INC,1805284,6162
EVLV,EVOLV TECHNOLOGIES HOLDINGS,1805385,3812
CERE,CEREVEL THERAPEUTICS HOLDING,1805387,2836
FFAI,FARADAY FUTURE INTELLIGENT,1805521,3711
DFDV,DEFI DEVELOPMENT CORP,1805526,6163
JWEL,JOWELL GLBL LTD,1805594,5961
MKTW,MARKETWISE INC,1805651,7370
SST,SYSTEM1 INC,1805833,7370
FUSN,FUSION PHARMACEUTI INC,1805890,2836
LPRO,OPEN LENDING CORP,1806201,7323
TSHA,TAYSHA GENE THERPS INC,1806310,2836
WEST,WESTROCK COFFEE CO,1806347,2090
LGHL,LION GROUP HOLDING LTD -ADS,1806524,6200
VERX,VERTEX INC,1806837,7370
EZGO,EZGO TECHNOLOGIES LTD,1806904,3690
LYEL,LYELL IMMUNOPHARMA INC,1806952,2836
OZ,BELPOINTE PREP LLC,1807046,6510
DSGN,DESIGN THERAPEUTIS INC,1807120,2836
AMST,AMESITE INC,1807166,7372
CD.1,CHINDATA GROUP HOLD LTD -ADR,1807192,7374
CPOP,POP CULTURE GROUP CO LTD,1807389,7389
MLAC.1,MALACCA STRAITS ACQ CO LTD,1807594,9995
APPHQ,APPHARVEST INC,1807707,100
CRDO,CREDO TECH GROUP HOLDING LTD,1807794,3674
ML,MONEYLION INC,1807846,6141
LASE,LASER PHOTONICS CORP,1807887,3540
PAND,PANDION THERPUTC INC,1807901,2836
MDNAF,MEDICENNA THERAPEUTICS CORP,1807983,2836
DDC,DDC ENTERPRISE LTD,1808110,2090
RPTX,REPARE THERAPEUTIC INC,1808158,2836
GOCO,GOHEALTH INC,1808220,6411
LUCY,INNOVATIVE EYEWEAR INC,1808377,3851
ASRT,ASSERTIO HOLDINGS INC,1808665,2834
NAUT,NAUTILUS BIOTECHNOLOGY INC,1808805,8731
PRG,PROG HOLDINGS INC,1808834,6141
ITOS,ITEOS THERAPEUTICS INC,1808865,2836
BNTC,BENITEC BIOPHARMA INC,1808898,2836
AOUT,AMERICAN OUTDOOR BRANDS,1808997,3949
ALIT,ALIGHT INC,1809104,7374
CVAC,CUREVAC N.V.,1809122,2836
KUKEY,KUKE MUS HOLD LTD -ADR,1809158,7900
IMTX,IMMATICS NV,1809196,2836
GDRX,GOODRX HLDGS INC,1809519,7370
BEKE,KE HOLDINGS INC,1809587,6531
UPC,UNIVERSE PHARMACEU INC,1809616,2834
HKD,AMTD DIGITAL INC -ADR,1809691,7011
EDBL,EDIBLE GARDEN AG INC,1809750,100
MIR,MIRION TECHNOLOGIES INC,1809987,3829
RXT,RACKSPACE TECHNOLO INC,1810019,7370
FRLN,FREELINE THER PLC -ADR,1810031,2836
POLCQ,POLISHED.COM INC,1810140,5961
ALXO,ALX ONCOLOGY HOLDI INC,1810182,2836
SNTG,SENTAGE HOLDINGS INC,1810467,7320
EBC,EASTERN BANKSHARES INC,1810546,6020
REVB,REVELATION BIOSCIENCES INC,1810560,2836
RADI,RADIUS GLOBAL INFRASTRUCTURE,1810739,4813
U,UNITY SOFTWARE INC,1810806,7372
XPEV,XPENG INC,1810997,3711
NUVB,NUVATION BIO INC,1811063,2834
TPL,TEXAS PACIFIC LAND CORP,1811074,6792
AUVI,APPLIED UV INC,1811109,3640
RNLXD,RENALYTIX PLC,1811115,7372
LCID,LUCID GROUP INC,1811210,3711
BAOS,BAOSHENG ME GR HOL LTD,1811216,7310
QS,QUANTUMSCAPE CORP,1811414,3690
PXMD,PAXMEDICA INC,1811623,2834
PNT,POINT BIOPHARMA GLOBAL INC,1811764,2834
VIEWQ,VIEW INC,1811856,3211
PSTH,PERSHING SQ TN HOL LTD,1811882,9995
FMHS,FARMHOUSE INC,1811999,7370
RBOT,VICARIOUS SURGICAL INC,1812173,3845
CCV,CHURCHILL CAPITAL CORP V,1812234,9995
FOXO,FOXO TECHNOLOGIES INC,1812360,8000
RLAY,RELAY THERAPEUTICS INC,1812364,2836
SKYQ,SKY QUARRY INC,1812447,2911
BITF,BITFARMS LTD,1812477,7374
RELI,RELIANCE GLOBAL GROUP INC,1812727,6411
TMPOQ,TEMPO AUTOMATION HOLDING INC,1813658,3672
WEWKQ,WEWORK INC,1813756,6512
VMAR,VISION MARINE TECH INC,1813783,3730
MNMD,MIND MEDICINE MINDMED INC,1813814,2834
CMAXQ,CAREMAX INC,1813914,8011
LXEH,LIXIANG EDUCATIO CO LTD -ADR,1814067,8200
OBIO,ORCHESTRA BIOMED HOLDING INC,1814114,3845
APGN,APEXIGEN INC,1814140,2836
BURU,NUBURU INC,1814215,3540
ABX,ABACUS GLOBAL MANAGEMENT INC,1814287,6411
ASTR,ASTRA SPACE INC,1814329,3760
IH,IHUMAN INC -ADR,1814423,7372
ETAC,E MERGE TECHN ACQ CORP,1814728,9995
KSMT,KISMET ACQUIS ONE CORP,1814824,9995
ILAG,INTELLIGENT LIVING APP G INC,1814963,3420
BQ,BOQII HOLDING LTD,1815021,5961
RBAC,REDBALL ACQUISITI CORP,1815184,9995
AHI,ADVANCED HEALTH INTELLIGENCE,1815436,7372
KYMR,KYMERA THERAPEUTIC INC,1815442,2836
BTAQ,BURGUNDY TECH ACQ CORP,1815526,9995
IFBD,INFOBIRD CO LTD,1815566,7311
OPTEY,OPTHEA LTD,1815620,2836
LENZ,LENZ THERAPEUTICS INC,1815776,2834
HAFN,HAFNIA LTD,1815779,4412
MNSO,MINISO GROUP HOLDING LTD,1815846,5331
ATIP,ATI PHYSICAL THERAPY INC,1815849,8000
PTPI,PETROS PHARMACEUTICALS INC,1815903,2834
ANEB,ANEBULO PHARMA INC,1815974,2834
LU,LUFAX HOLDING LTD,1816007,6141
SPIR,SPIRE GLOBAL INC,1816017,8731
SAII,SOFTWARE ACQUIS GROUP INC II,1816048,9995
FTOC,FTAC OLYMPUS ACQU CORP,1816090,9995
DMYD,DMY TECHNOLOGY INC II,1816101,9995
GOAC,GO ACQUISITION CORP,1816176,9995
SHCR,SHARECARE INC,1816233,7370
LYTHF,LYTUS TECH HLD PTV LTD,1816319,7841
QSI,QUANTUM SI INC,1816431,3826
OUST,OUSTER INC,1816581,3829
CMPS,COMPASS PATHWAYS PLC,1816590,2836
MKFG,MARKFORGED HOLDING CORP,1816613,3555
OWLT,OWLET INC,1816708,3827
IRON,DISC MEDICINE INC,1816736,2836
BON,BON NTRL LIFE LTD,1816815,2800
GRSV,GORES HOLDINGS V INC,1816816,9995
NXXT,NEXTNRG INC,1817004,5900
HZAC,HORIZON ACQUISITION CORP,1817071,9995
VOR,VOR BIOPHARMA INC,1817229,2836
HGAS,GLOBAL GAS CORP,1817232,2810
ARTV,ARTIVA BIOTHERAPEUTICS INC,1817241,2836
ASO,ACADEMY SPO AND OU INC,1817358,5940
SOPA,SOCIETY PASS INC,1817511,7370
JANX,JANUX THERAPEUTICS INC,1817713,2836
AUST,AUSTIN GOLD CORP,1817740,1040
SMTK,SMARTKEM INC,1817760,3674
CRXTQ,CLARUS THERAPEUTICS HOLD INC,1817944,2836
BOAC,BLUESCAPE OPP ACQ CORP,1818089,9995
SKIN,BEAUTY HEALTH CO (THE),1818093,3841
CCC,CCC INTELLIGENT SOLUTIONS HL,1818201,7370
WGS,GENEDX HOLDINGS CORP,1818331,8071
BFT,FOLEY TRASIMENE ACQU CORP II,1818355,9995
HUMA,HUMACYTE INC,1818382,2836
MAX,MEDIAALPHA INC,1818383,7370
OPFI,OPPFI INC,1818502,6141
LIDR,AEYE INC,1818644,3829
DYN,DYNE THERAPEUTICS INC,1818794,2836
ADAG,ADAGENE INC,1818838,2836
DWTX,DOGWOOD THERAPEUTICS INC,1818844,2836
IPOF,SOCIAL CAPITAL HEDOSOPHIA,1818873,9995
SOFI,SOFI TECHNOLOGIES INC,1818874,6141
IPOD.1,SOCIAL CAPI HED HOLD CORP IV,1818876,9995
MILE,METROMILE INC,1819035,6331
SNCE,SCIENCE 37 HOLDINGS INC,1819113,8731
TNGX,TANGO THERAPEUTICS INC,1819133,2836
SES,SES AI CORP,1819142,3690
BTMD,BIOTE CORP,1819253,8090
MAAC,MONTES ARCHIMEDES ACQ CORP,1819263,9995
TWCT,TWC TECH HOLDI II CORP,1819313,9995
MTTR,MATTERPORT INC,1819394,7370
SONDQ,SONDER HOLDINGS INC,1819395,7000
TPGY,TPG PACE BENE FIN CORP,1819399,9995
NRDY,NERDY INC,1819404,8200
GANX,GAIN THERAPEUTICS INC,1819411,2836
GWH,ESS TECH INC,1819438,3690
XOS,XOS INC,1819493,3713
UP,WHEELS UP EXPERIENCE INC,1819516,4522
BARK,BARK INC,1819574,5961
LQDA,LIQUIDIA CORP,1819576,2834
YSG,YATSEN HOLDING LTD -ADR,1819580,2844
VLTA,VOLTA INC,1819584,3620
AVAN,AVANTI ACQUISITION CORP,1819608,9995
CLVR,CLEVER LEAVES HOLDINGS INC,1819615,2833
MRM,MEDIROM HLTHCR TECH INC -ADR,1819704,7200
TARS,TARSUS PHARMACEUTI INC,1819790,2834
HTOO,FUSION FUEL GREEN PLC,1819794,5172
GCMG,GCM GROSVENOR INC,1819796,6200
RDW,REDWIRE CORP,1819810,3760
JOBY,JOBY AVIATION INC,1819848,4522
TRIRF,TRITERRAS INC,1819876,7370
PAYA,PAYA HOLDINGS INC,1819881,7374
DV,DOUBLEVERIFY HOLD INC,1819928,7372
SKYT,SKYWATER TECH INC,1819974,3674
CIFR,CIPHER MINING INC,1819989,7372
RKLB,ROCKET LAB CORP,1819994,3760
GRND,GRINDR INC,1820144,7370
SCLX,SCILEX HOLDING CO,1820190,2834
RDBX,REDBOX ENTERTAINMENT INC,1820201,7841
BKKT,BAKKT HOLDINGS INC,1820302,6200
ISPO,INSPIRATO INC,1820566,4700
PTRAQ,PROTERRA INC,1820630,3711
ARRY,ARRAY TECHNOLOGIES INC,1820721,3829
GBTG,GLOBAL BUSINESS TRAVL GP INC,1820872,4700
CXAI,CXAPP INC,1820875,7370
AIRC,APARTMENT INCOME REIT CORP,1820877,6798
AFRM,AFFIRM HOLDINGS INC,1820953,6141
EVGO,EVGO INC,1821159,5500
GHLD,GUILD HOLDINGS CO,1821160,6162
MSGM,MOTORSPORT GAMES INC,1821175,7372
TSBA,TOUCHSTONE BANKSHARES INC,1821297,6020
SGTX,SIGILON THERAPTICS INC,1821323,2836
NGMS,NEOGAMES SA,1821349,7372
AAN,AARONS CO INC (THE),1821393,5700
UK,UCOMMUNE INTERNATIONAL LTD,1821424,6512
YQ,17 EDUCATION & TE -ADR,1821468,8200
EXOD,EXODUS MOVEMENT INC,1821534,7370
MLTX,MOONLAKE IMMUNOTHERAPEUTICS,1821586,2836
NVTS,NAVITAS SEMICONDUCTOR CORP,1821769,3674
HZON,HORIZON ACQUISITION CORP II,1821788,9995
LESL,LESLIE'S INC,1821806,5990
OGN,ORGANON & CO,1821825,2834
SUNLQ,SUNLIGHT FINANCIAL HOLDINGS,1821850,6141
PRST,PRESTO AUTOMATION INC,1822145,3578
LOGC,CONTEXTLOGIC HOLDINGS INC,1822250,5961
DCGO,DOCGO INC,1822359,8090
FHTX,FOGHORN THERAPEUTICS INC,1822462,2836
SHC,SOTERA HEALTH CO,1822479,8734
HLMN,HILLMAN SOLUTIONS CORP,1822492,3452
AFCG,ADVANCED FLOWER CAPITAL INC,1822523,6798
GRNA,GREENLIGHT BIOSCIENCES HLDGS,1822691,2836
PRDS,PARDES BIOSCIENCES INC,1822711,2836
CLNN,CLENE INC,1822791,2836
OZON,OZON HOLDINGS PLC,1822829,5961
VYGG,VY GLOBAL GROWTH,1822877,9995
HLLY,HOLLEY INC,1822928,3714
SMR,NUSCALE POWER CORP,1822966,3621
JXN,JACKSON FINANCIAL INC,1822993,6311
CNXX,CONX CORP,1823000,6512
CMPO,COMPOSECURE INC,1823144,3577
MRVI,MARAVAI LIFESCIENS HLDGS INC,1823239,8731
LSPD,LIGHTSPEED COMMERCE INC,1823306,7370
GBNY,GENERATIONS BANCORP NY INC,1823365,6035
AFBI,AFFINITY BANCSHARES INC,1823406,6020
NOTE,FISCALNOTE HOLDINGS INC,1823466,7370
ACT,ENACT HOLDINGS INC,1823529,6351
ZFOX,ZEROFOX HOLDINGS INC,1823575,7372
AENT,ALLIANCE ENTMNT HOLDING CORP,1823584,5099
SKYH,SKY HARBOUR GROUP CORP,1823587,4581
TSPH,CREATEAI HOLDINGS INC,1823593,7372
AMAL,AMALGAMATED FINANCIAL CORP,1823608,6020
EVEX,EVE HOLDING INC,1823652,3721
LFG,ARCHAEA ENERGY INC,1823766,4900
ARKO,ARKO CORP,1823794,5500
MYPS,PLAYSTUDIOS INC,1823878,7372
MIMOQ,AIRSPAN NETWORKS HOLDINGS IN,1823882,3663
OWL,BLUE OWL CAPITAL INC,1823945,6799
WDH,WATERDROP INC,1823986,6411
HAAC,HEALTH ASSURA ACQ CORP,1824013,9995
IDBAY,IDEX BIOMETRICS ASA,1824036,3670
GRI,GRI BIO INC,1824293,2836
RSVR,RESERVOIR MEDIA INC,1824403,8900
ACHR,ARCHER AVIATION INC,1824502,4522
BGRY,BERKSHIRE GREY INC,1824734,3569
CGNT,COGNYTE SOFTWARE LTD,1824814,7372
SRZN,SURROZEN INC,1824893,2836
IONQ,IONQ INC,1824920,3571
PCPC,PERIPHAS CAPTL PA CORP,1824993,9995
OPAD,OFFERPAD SOLUTIONS INC,1825024,6531
VELO,VELO3D INC,1825079,3555
DFH,DREAM FINDERS HOMES INC,1825088,1531
TIXT,TELUS INTERNATIONAL IN,1825155,7374
CFIV,CF ACQUISITION CORP IV,1825249,9995
CHSN,CHANSON INTERNATIONL HOLDING,1825349,5400
ONFO,ONFOLIO HOLDINGS INC,1825452,7370
POSH,POSHMARK INC,1825480,5961
PAX,PATRIA INVESTMENTS LTD,1825570,6282
RAYA,ERAYAK PWR SOLUTIO GROUP INC,1825875,3690
LTCH,LATCH INC,1826000,7370
BNZI,BANZAI INTERNATIONAL INC,1826011,7370
ROVR,ROVER GROUP INC,1826018,700
TIMB,TIM S.A.,1826168,4812
VINP,VINCI COMPASS INVEST LTD,1826286,6200
GSUN,GOLDEN SUN HEALTH TECH G LTD,1826376,8200
AVX,AVAX ONE TECHNOLOGY LTD,1826397,3569
GLUE,MONTE ROSA THERAPEUTICS INC,1826457,2836
WOOF,PETCO HEALTH AND WELLNESS CO,1826470,5990
GRCL,GRACELL BIOTE INC -ADR,1826492,2836
MNTK,MONTAUK RENEWABLES INC,1826600,1311
WETH,WETOUCH TECHNOLOGY INC,1826660,3679
TLSI,TRISALUS LIFE SCIENCES INC,1826667,3841
PDYN,PALLADYNE AI CORP,1826681,3590
BODI,BEACHBODY CO INC (THE),1826889,7200
BCAB,BIOATLA INC,1826892,2836
CVT,CVENT HOLDING CORP,1827075,7370
VIGL,VIGIL NEUROSCIENCE INC,1827087,2836
CERT,CERTARA INC,1827090,7370
DRUG,BRIGHT MINDS BIOSCIENCES INC,1827401,2836
TRML,TOURMALINE BIO INC,1827506,2836
FRGE,FORGE GLOBAL HOLDINGS INC,1827821,6200
EMBK,EMBARK TECHNOLOGY INC,1827980,7372
PLTK,PLAYTIKA HOLDING CORP,1828016,7372
STKH,STEAKHOLDER FOODS LTD,1828098,3550
KARO,KAROOOOO LTD,1828102,7370
HIPO,HIPPO HOLDINGS INC,1828105,6411
AUR,AURORA INNOVATION INC,1828108,7372
FTCI,FTC SOLAR INC,1828161,3600
SGFY,SIGNIFY HEALTH INC,1828182,8082
BRNS,BARINTHUS BIOTHERAPEUTICS,1828185,2836
CVII,CHURCHILL CAP CRP VII,1828248,9995
CCVI,CHURCHILL CAP CORP VI,1828250,9995
EVAX,EVAXION A/S  -ADR,1828253,2836
PHAR,PHARMING GROUP NV,1828316,2836
ENVX,ENOVIX CORP,1828318,3690
RLX,RLX TECHNOLOGY INC,1828365,3990
WMPN,WILLIAM PENN BANCORP,1828376,6036
OCDX,ORTHO CLINICAL DIAG HLDG PLC,1828443,3845
EFTR,EFFECTOR THERAPEUTICS INC,1828522,2836
NRGV,ENERGY VAULT HOLDINGS INC,1828536,3690
HNVR,HANOVER BANCORP INC,1828588,6020
BOXDQ,BOXED INC,1828672,5961
HCWB,HCW BIOLOGICS INC,1828673,2836
AMPS,ALTUS POWER INC,1828723,4911
DSP,VIANT TECHNOLOGY INC,1828791,7370
LICYQ,LI-CYCLE HOLDINGS CORP,1828811,4953
MONDQ,MONDEE HOLDINGS INC,1828852,4700
FOA,FINANCE OF AMERICA COMPANIES,1828937,6162
CRCT,CRICUT INC,1828962,3555
BZFD,BUZZFEED INC,1828972,7370
TUYA,TUYA INC,1829118,7370
BFRG,BULLFROG AI HOLDINGS INC,1829247,7372
FORA,FORIAN INC,1829280,7370
FPAC,FAR PEAK ACQUISITION CORP,1829426,9995
AAC,ARES ACQSTN CORP,1829432,9995
CARE,CARTER BANKSHARES INC,1829576,6020
RNAZ,TRANSCODE THERAPEUTICS INC,1829635,2836
RGC,REGENCELL BIOSCIENCE HOL LTD,1829667,2834
TFPM,TRIPLE FLAG PRECIOUS METALS,1829726,1040
EMPD,EMPERY DIGITAL INC,1829794,3751
SNSE,SENSEI BIOTHERAPEU INC,1829802,2836
TASK,TASKUS INC,1829864,7374
CIXXF,CI FINANCIAL CORP,1829948,6282
OGBLY,ONION GLOBAL LTD - ADR,1829949,5960
DCBO,DOCEBO INC,1829959,7370
EBET,EBET INC,1829966,7990
GRDI,GRIID INFRASTRUCTURE INC,1830029,7370
PCT,PURECYCLE TECHNOLOGIES INC,1830033,2821
BMBL,BUMBLE INC,1830043,7370
IPW,IPOWER INC,1830072,5961
RUM,RUMBLE INC,1830081,7370
LBPS,4D PHARMA PLC,1830162,2836
ENJYQ,LEGACY EJY INC,1830180,5731
UHG,UNITED HOMES GROUP INC,1830188,1531
HMPT,HOME POINT CAPITAL INC,1830197,6162
BHILQ,BENSON HILL INC,1830210,100
DNA,GINKGO BIOWORKS HOLDINGS INC,1830214,8731
PHVS,PHARVARIS NV,1830487,2836
ACHL,ACHILLES THERAPEUTI PLC -ADR,1830749,2836
GEG,GREAT ELM GROUP INC,1831096,6799
AGL,AGILON HEALTH INC,1831097,8090
LIANY,LIANBIO -ADR,1831283,2836
JWSMF,JAWS MUSTANG ACQU CORP,1831359,9995
TERN,TERNS PHARMACEUTIC INC,1831363,2834
SOC,SABLE OFFSHORE CORP,1831481,1311
DSEY,DIVERSEY HOLDINGS LTD,1831617,2840
LDI,LOANDEPOT INC,1831631,6162
SHLS,SHOALS TECHNOLOGIES GRP INC,1831651,3670
VERA,VERA THERAPEUTICS INC,1831828,2836
SEMR,SEMRUSH HOLD INC,1831840,7370
ICU,SEASTAR MEDICAL HOLDING CORP,1831868,3841
LUXE,LUXEXPERIENCE B V,1831907,5961
CTKB,CYTEK BIOSCIENCES INC,1831915,8731
SDST,STARDUST POWER INC,1831979,3330
IVVD,INVIVYD INC,1832038,2836
LBPH,LONGBOARD PHARMA INC,1832168,2834
