tic,conm,cik,sic
CHER.1,CHERRY CORP,19704,3640
CSKEQ,CHESAPEAKE CORP,19731,2631
3CHET,CHESAPEAKE INDUSTRIES INC,19736,2430
CPK,CHESAPEAKE UTILITIES CORP,19745,4923
CVR,CHICAGO RIVET & MACHINE CO,19871,3452
CFCM,CHIEF CONSOLIDATED MINING CO,19913,6532
CHWO,CHILD WORLD INC-NEW,19930,5945
CHF.,CHOCK FULL O NUTS CORP,20041,2090
CCN.2,CHRIS-CRAFT INDS,20067,4833
CST.1,CHRISTIANA COMPANIES,20104,4220
CB.1,CHUBB CORP,20171,6331
CHDN,CHURCHILL DOWNS INC,20212,7990
CHYR,CHYRONHEGO CORP,20232,3663
CINF,CINCINNATI FINANCIAL CORP,20286,6331
CIN1,DUKE ENERGY OHIO INC,20290,4931
3CFNEE,CIRCLE FINE ART CORP,20356,2741
CINS,CIRCLE INCOME SHS INC,20358,6726
CIT.1,CIT GROUP INC-OLD,20388,6172
3614B,CITICORP,20405,6020
3CITGS,CITIZENS GROWTH PROPERTIES,20467,6798
FYBR,FRONTIER COMMUNIC PARENT INC,20520,4813
CSS,CSS INDUSTRIES INC,20629,2670
ABCP,AMBASE CORP,20639,9995
CLC,CLARCOR INC,20740,3564
3CLSM,CLAYTON SILVER MINES,20871,1044
AMTR.,AMERITRUST CORP-OLD,20972,6020
3CTRIS,CLEVETRUST REALTY INVESTORS,20975,6798
CLX,CLOROX CO/DE,21076,2842
CMI.3,CMI CORP,21157,3531
CNA,CNA FINANCIAL CORP,21175,6331
CNN,PROSPECT STREET INCOME SHS,21178,6726
CNLF10,C N L FINANCIAL CORP,21193,6311
COHM,ALL AMERICAN GROUP INC,21212,2452
EP2,EL PASO CGP CO,21267,4922
KO,COCA-COLA CO,21344,2086
THNKQ,THINKENGINE NETWORKS INC,21438,3661
COHR.1,COHERENT INC,21510,3826
COHU,COHU INC,21535,3825
CLN.2,COLEMAN CO INC,21627,3640
CL,COLGATE-PALMOLIVE CO,21665,2844
CGEN.,COLLAGEN AESTHETIC INC,21686,3842
CNSI.1,COLLINS INDUSTRIES INC,21759,3713
CCOM,CCOM GROUP INC,21828,5070
COLC.,COLORADO NATL BANKSHARES,21956,6020
NI2,COLUMBIA ENERGY GROUP,22099,4923
AVL.2,AVALON CORP,22229,1311
CMRO,COMARCO INC,22252,9995
CLT.2,COMINCO LTD,22337,1000
CBSH,COMMERCE BANCSHARES INC,22356,6020
CCHIA,CCH INC  -CL A,22366,2721
CBOCA,COMMERCIAL BANCORPORATION CO,22390,6020
3COME.,COMMERCIAL DECAL INC,22412,2750
CMC,COMMERCIAL METALS,22444,3312
TEC.2,COMMERCIAL INTERTECH,22470,3590
TVLYQ,TRI-VALLEY CORP,22551,1311
CQ.1,COMSAT CORP  -SER 1,22698,4899
SUNE,SUNATION ENERGY INC,22701,3620
THY.1,TRANSITIONAL HOSPITALS CP,22764,8060
CHCR,COMPREHENSIVE CARE CORP,22872,6324
CSRV.,COMPUSERVE CORP,22896,7370
CDCY,COMPUDYNE CORP,22912,7381
3CAUTE,COMPUTER AUTOMATION INC,22962,3661
CDSI.,COMPUTER DATA SYSTEMS INC,22989,7373
CHZS,COMPUTER HORIZONS CORP,23019,9995
CIDN,COMPUTER IDENTICS CORP,23023,3577
GSOF,GROUP 1 SOFTWARE INC,23055,7372
ATSN,ARTESYN TECHNOLOGIES INC,23071,3679
LDGX,LODGISTIX INC,23107,7373
CTG,COMPUTER TASK GROUP INC,23111,7370
CRK,COMSTOCK RESOURCES INC,23194,1311
CMTL,COMTECH TELECOMMUN,23197,3663
CAG,CONAGRA BRANDS INC,23217,2000
CIS.,CONCORD FABRICS INC  -CL A,23249,2250
CTCI,CT COMMUNICATIONS INC,23259,4813
CJML,CONE MILLS CORP,23304,2211
CNSC.1,CONESCO INDUSTRIES LTD,23314,3444
CGMCQ,CONGOLEUM CORP  -CL A,23341,3089
CYT.2,CITYTRUST BANCORP INC,23413,6020
CNLG,CONOLOG CORP,23503,3679
CZM.1,CALMAT CO,23533,1400
CFIB,CFI INDUSTRIES INC,23657,2670
HSH,HILLSHIRE BRANDS CO,23666,2013
CNW,CON-WAY INC,23675,4210
D2,CONSOLIDATED NATURAL GAS CO,23738,4923
CDP.,CONSOLIDATED PAPERS INC,23752,2621
CTO,CTO REALTY GROWTH INC,23795,6798
CONW,CONSUMERS WATER CO,23910,4941
CCXI.1,CCX INC,24009,3357
CIC.3,CONTINENTAL CORP,24011,6331
CBK.2,CONTINENTAL BANK CORP,24058,6020
CISC,CONTINENTAL INFORMATN SYS CP,24071,7377
CIA,CITIZENS INC,24090,6311
CUO,RIVERBEND INDUSTRIES,24104,3585
CTB,COOPER TIRE & RUBBER CO,24491,3011
TAP,MOLSON COORS BEVERAGE CO,24545,2082
CORD.,CORDIS CORP,24654,3841
GLW,CORNING INC,24741,3679
CSLI.1,COTTON STATES LIFE INSURANCE,25118,6311
CFC.3,COUNTRYWIDE FINANCIAL CORP,25191,6162
CRRC,COURIER CORP,25212,2732
CUZ,COUSINS PROPERTIES INC,25232,6798
0059A,COX COMMUNICATIONS INC,25305,4841
CPICQ,CPI CORP,25354,7200
CPTD,CPT HOLDING CORP,25360,3440
CXT,CRANE NXT CO,25445,3580
CRD.A,CRAWFORD & CO,25475,6411
CYR.1,CRAY RESEARCH,25506,3571
CRST,CRESTEK INC,25652,3690
3CBAG,CRESTED CORP,25657,1381
TXMD,THERAPEUTICSMD INC,25743,2834
ATX,COSTA INC   -CL A,25793,3950
CWYM,CROWLEY MILNER & CO,25871,5311
CNP.B,CROWN CENTRAL PETROL  -CL B,25885,2911
CRWS,CROWN CRAFTS INC,25895,2211
3CRNA.,CROWNAMERICA INC,25933,2200
CRX.2,CRSS INC,25941,4991
CTS,CTS CORP,26058,3670
CUB.1,CUBIC CORP,26076,3578
CBO,CULBRO CORP,26093,2100
