cik,sic,conm
7627,3270,ARUNDEL CORP
7634,6552,ARVIDA CORP
7636,3714,ARVIN INDUSTRIES INC
7641,3390,ARWOOD CORP
7647,1311,ASAMERA INC
7649,3330,ASARCO INC
7668,3211,AFG INDUSTRIES INC
7748,7990,ASPEN SKIING CORP
7789,6020,ASSOCIATED BANC-CORP
7822,5311,ASSOCIATED DRY GOODS CORP
7845,4210,ASSOCIATED FREIGHTWAYS INC
7913,6798,ASSOCIATED MORTGAGE INVESTOR
7931,2040,ASSOCIATED PRODUCTS INC
7965,4210,ASSOCIATED TRANSPORT INC
7974,6141,ASSOCIATES FIRST CAP -CL A
8038,5065,ASTREX INC
8063,3640,ASTRONICS CORP
8065,3823,ASTROSYSTEMS INC
8076,3663,AT&E CORP
8080,5140,ATALANTA CORP
8097,4841,ATHENA COMMUNICATIONS CORP
8109,3711,ATHEY PRODUCTS CORP
8117,3312,ATHLONE INDS
8126,6020,INTERCONTINENTAL BK MIAMI FL
8137,1600,ATKINSON (G F) CO/CA
8146,3577,ASTRONOVA INC
8177,6321,ATLANTIC AMERICAN CORP
8241,3911,ATLANTIC OIL CORP
8254,3760,ATLANTIC RESEARCH CORP
8273,3312,ATLANTIC STEEL CO
8302,1040,ATLAS MINERALS INC
8316,7011,ATLAS HOTELS INC
8411,1381,ATWOOD OCEANICS
8447,3651,AUDIOTRONICS CORP
8449,3842,GEMTEC CORP
8462,3714,AUGAT INC
8504,3721,AGEAGLE AERIAL SYSTEMS
8507,3944,AURORA PRODUCTS CORP
8588,7384,AUTHENTICOLOR INC
8617,3690,AUTODYNAMICS INC
8670,7374,AUTOMATIC DATA PROCESSING
8699,3524,ARMATRON INTERNATIONAL INC
8703,5045,BOWEN INVESTMENT CO
8721,8700,AUTOMATION INDUSTRIES INC
8734,5812,AMBASSADOR FOOD SVCS CORP
8752,3823,AUTONUMERICS INC
8759,3823,AUTOTROL CORP
8789,3714,AVC CORP
8793,3724,AVCO CORP
8802,6331,AVEMCO CORP
8818,2670,AVERY DENNISON CORP
8843,3679,AVIEN INC
8848,7500,AVIS INC
8849,3490,AVIS INDUSTRIAL CORP
8855,2540,AMERICAN LOCKER GROUP INC
8858,5065,AVNET INC
8868,2844,AVON PRODUCTS
8919,3663,AYDIN CORP
8938,5099,AZCON CORP
8947,3470,AZZ INC
8952,1311,AZTEC OIL & GAS CO
8960,6141,BENEFICIAL CORP
9029,2080,BACARDI CORP  -CL A
9092,3824,BADGER METER INC
9096,2621,BADGER PAPER MILLS INC
9198,3826,BAIRD CORP
9235,3572,BKF CAPITAL GROUP INC
9247,7381,BAKER INDUSTRIES INC
9263,8711,BAKER (MICHAEL) CORP
9326,2860,BALCHEM CORP  -CL B
9342,3621,BALDOR ELECTRIC CO
9346,6331,PROTECTIVE INSURANCE CORP
9375,6799,BALDWIN SECURITIES CORP
9389,3411,BALL CORP
9435,7990,BALLY ENTERTAINMENT CORP
9442,2430,BALTEK CORP
9452,2761,BALTIMORE BUSINESS FORMS INC
9514,6020,BANCOHIO CORP
9515,6020,BANCOKLAHOMA CORP
9521,6726,BANCROFT FUND LTD
9534,3011,BANDAG INC
9542,1311,BANFF OIL LTD
9548,4911,BANGOR HYDRO-ELECTRIC CO
9549,3721,BANGOR PUNTA CORP
9568,3578,BANKCOM CORP
9631,6020,BANK OF NOVA SCOTIA
9659,6020,SIGNET BANKING CORP
9749,6020,BANKERS TRUST CORP
9767,6020,BANKS OF IOWA
9779,2300,FAIRCHILD CORP  -CL A
9801,2750,BANTA CORP
9803,2731,BANTAM BOOKS INC
9842,1220,BARBER OIL CORP
9888,2330,BARCO OF CALIFORNIA
9892,3841,BARD (C.R.) INC
9901,3562,BARDEN CORP
9981,3812,BARNES ENGINEERING CO
9984,3490,BARNES GROUP INC
10012,6020,BARNETT BANKS INC
10048,1311,BARNWELL INDUSTRIES
10057,3579,BARON DATA SYSTEMS
10081,2834,BARR PHARMACEUTICALS INC
10119,3829,BARRINGER TECHNOLOGIES
10124,7812,GUBER-PETERS ENTMT
10173,2721,BARTELL MEDIA CORP
10214,2080,BARDSTOWN PARTNERS LTD
10226,1311,BARUCH-FOSTER CORP
10240,5399,BASCO INC
10242,9995,BASE TEN SYSTEMS  -CL A
10253,3290,BASIC INC
10254,1311,EARTHSTONE ENERGY INC
10257,2015,BASIC FOOD INDUSTRIES INC
10303,1311,BASIN PETROLEUM CORP
10329,2511,BASSETT FURNITURE INDS
10366,1220,BAV LIQUIDATING CORP
10456,3841,BAXTER INTERNATIONAL INC
10488,4923,BAY STATE GAS
10497,6020,BAYBANKS INC
10518,2320,BAYLY CORP
10609,3448,BEAMAN CORP
10707,1311,BEAVER MESA EXPLORATION CO
10736,3140,BECK INDUSTRIES INC
10795,3841,BECTON DICKINSON & CO
10829,3721,BEECH AIRCRAFT CORP
10866,3575,BEEHIVE INTERNATIONAL
10873,2300,BEELINE INC
10889,5912,BEGLEY CO
10940,1311,BELCO PETROLEUM CORP
10943,3569,BELCO POLLUTION CONTROL CORP
11027,3960,CARLYLE INDUSTRIES INC
11035,3711,AMERTEK INC
11038,5070,BELKNAP INC
11109,5399,BELL (W.) & CO INC
11170,5651,BELSCOT RETAILERS INC
11199,2670,BEMIS CO INC
11234,3714,BENDIX CORP
11285,1311,BENGAL OIL & GAS CORP
11290,1000,BENGUET CORP
11337,1311,BENNETT PETROLEUM CORP
11354,3560,WELLS BENRUS CORP
11390,3812,BENTHOS INC
11440,6162,BERG ENTERPRISES INC
11454,5122,BERGEN BRUNSWIG CORP  -CL A
11508,2600,BERGSTROM PAPER CO
11534,5040,BERKEY INC
11544,6331,BERKLEY (W R) CORP
11545,2510,BERKLINE CORP
11617,7389,BERMEC CORP
11744,3728,BERTEA CORP
11763,2273,BERVEN CARPETS CORP
11821,5399,BEST PRODUCTS
11856,3567,BETHLEHEM CORP
11860,3312,BETHLEHEM STEEL CORP
11884,2890,BETZDEARBORN INC
11899,2086,BEVERAGE CANNERS INC
11906,2086,BEVERAGE MANAGEMENT INC
11913,6020,BEVERLY BANCORPORATION INC
11975,3950,BIC CORP
12027,5411,SCIOTO INVESTMENT CO
12040,5812,FLANIGANS ENTERPRISES INC
12043,2650,BIG DRUM INC
12152,2320,BTK INDUSTRIES INC
12180,3560,SAMES CORP
12184,3950,BINNEY & SMITH INC
12204,3841,BIO-MEDICUS INC
12208,3826,BIO-RAD LABORATORIES INC
12239,6282,ALKIDO PHARMA INC
12245,2950,BIRD CORP
12288,3845,BIRTCHER MEDICAL SYSTEMS
12304,7373,BISHOP INC
12355,3540,BLACK & DECKER CORP
12363,5812,BLACK ANGUS SYSTEMS INC
12388,4899,BROADBAND WIRELESS INTL CORP
12404,1623,BLACK INDUSTRIES INC
12570,3060,LEXINGTON PRECISION CORP
12614,3081,BLESSINGS CORP
12635,3420,AXIA INC
12654,2844,BLOCK DRUG  -CL A
12655,3829,BLOCK ENGINEERING INC
12659,7200,BLOCK H & R INC
12721,2320,BLUE BELL INC
12733,2060,BLUE CHIP STAMPS
12794,5082,BLUEFIELD SUPPLY CO
12801,1311,BLUEWATER OIL & GAS LTD
12927,3721,BOEING CO
12960,2421,BOHEMIA INC
12978,5110,OFFICEMAX INC
13000,1090,BOKUM RESOURCES CORP
13006,2834,CIRCA PHARMACEUTICALS INC
13021,7373,BBN CORP
13033,9995,COMJOYFUL INTERNATIONAL CO
13034,2390,BOMAINE CORP
13191,3825,BOONTON ELECTRONICS CORP
13206,3585,BOOTH INC
13211,2711,BOOTH NEWSPAPERS INC
13239,2821,HEXION INC
13290,5411,BORMAN'S INC
13370,3541,BOSTON DIGITAL CORP
13506,3674,BOURNS INC
13522,3411,REXAM PLC
13547,1700,ENTRPRIZE CORP
13573,7900,BOWL AMERICA INC  -CL A
13606,3674,WHITE ELECTRONIC DESIGNS CP
13610,2750,BOWNE & CO INC
13682,5141,BOZZUTOS INC
13743,9995,FIDATA CORP
13769,3944,MILTON BRADLEY CO
13777,6798,BRADLEY REAL ESTATE INC
13803,1531,BRAEWOOD DEVELOPMENT CORP
13824,6799,BRL ENTERPRISES INC
13839,6020,BB&T FINANCIAL CORP
13861,7372,RAND INFORMATION SYS
13892,4512,BRANIFF INTERNATIONAL CORP
14029,3562,BRENCO INC
14060,6020,BRENTON BANKS INC
14177,2013,BRIDGFORD FOODS CORP
14195,3510,BRIGGS & STRATTON
14205,4210,BRIGGS TRANSPORTATION CO
14231,1311,BRILUND LTD
14244,7381,BRINKS INC
14272,2834,BRISTOL-MYERS SQUIBB CO
14280,3679,MSGI SECURITY SOLUTIONS INC
14343,5190,BDI INVESTMENTS CORP
14399,1311,BROCK EXPLORATION CORP
14474,1311,BRONCO OIL & GAS CO
14537,3531,BOBBIE BROOKS INC
14550,5621,BROOKS FASHION STORES
14592,1600,BROSS UTILITIES SERVICE CORP
14637,3713,BNS HOLDING CO
14693,2085,BROWN FORMAN CORP
14707,5661,CALERES INC
14803,1311,BROWN (TOM) INC
14825,5040,BROWNING
14827,4953,BROWNING-FERRIS INDS
14846,6798,BRT APARTMENTS CORP
14920,5411,BRUNOS INC
14930,3510,BRUNSWICK CORP
14995,3950,DIXON TICONDEROGA CO
15056,3690,BUCK ENGINEERING CO INC
15070,3320,BUCKEYE INTL INC
15133,3714,BUDD CO
15162,3559,MAUL TECHNOLOGY CORP
15166,3452,BUELL INDUSTRIES INC
15185,3564,BUFFALO FORGE CO
15216,2761,UARCO INC
15218,5311,BUFFUMS
15236,2020,WINN ENTERPRISES
15245,3420,BUILDEX INC
15269,3540,BULLARD CO
15310,5094,BULOVA CORP
15332,3317,BUNDY CORP
15345,6726,BUNKER HILL INC SEC
15354,3679,MAGNETIC TECHNOLOGIES CORP
15359,3663,BUNTING INC
15389,2810,BURDOX INC
15437,2011,BURING FOOD GROUP INC
15476,7381,BURKE SECURITY INC
15486,3661,FORTRAN CORP
15523,3678,BURNDY CORP
15599,1220,PYRO ENERGY CORP
15615,1623,MASTEC INC
15678,1311,EMEX CORP
15723,4013,BUSH UNIVERSAL INC
15764,1531,BUSINESS EXCHANGE INC
15836,8744,BUTLER INTL INC
15840,3448,BUTLER MFG CO
15847,8741,BUTLER NATIONAL CORP
15993,5600,C & R CLOTHIERS INC
16035,4841,CABLECOM GENERAL INC
16040,2890,CABOT CORP
16058,7373,CACI INTL INC  -CL A
16068,2721,CADENCE INDUSTRIES CORP
16099,5812,LUBYS INC
16104,2015,CAGLE'S INC  -CL A
16160,200,CAL-MAINE FOODS INC
16226,5331,CALDOR INC
16343,7948,CALIFORNIA JOCKEY CLUB
16346,6199,CALIFORNIA LIFE CORP
16357,3663,ADAPTIVE BROADBAND CORP.
16377,4813,CP NATIONAL CORP
16455,3050,CALLAHAN MINING CORP
16481,5812,CALNY INC
16496,1531,CALPROP CORP
16511,2911,CALUMET INDUSTRIES INC
