conm,tic,cik,sic
TELEPLUS WORLD CORP,TLPEQ,1133754,4899
UNI-PIXEL INC,UNXLQ,1171012,3679
MORGAN GROUP HOLDING CO,MGHL,1162283,6211
COM GUARD.COM INC,CGUD,1103759,7372
IPCS INC,IPCS,1108727,4899
NEWMONT MINING CANADA,NMCEF,1005388,1040
TSAKOS ENERGY NAVIGATION LTD,TNP,1166663,4412
NATIONWIDE CAPITAL CORP,3NCCN,1130276,5122
VIRATECH CORP,VIRA,1130781,7812
TARA GOLD RESOURCES CORP,TRGD,1100747,1000
U S CHINA MINING GROUP INC,SGZH,1145761,1220
COHEN & STEERS QTY INCM RLTY,RQI,1157842,6726
HERITAGE BANCSHARES INC/DE,3HRGB,1160124,6036
SKYWAY COMMUN HOLDINGS CORP,SWYCQ,1128723,4813
GLOBAL PREFERRED HLDGS -REDH,GHPO,947716,6311
CARDIAC SCIENCE CORP,CSCX,1323115,3845
ALTIRIS INC,ATRS.,1139650,7372
PINNACLE AIRLINES CORP,PNCLQ,1166291,4512
DYNEGY ENERGY PTNRS LP -REDH,DEP.2,1167784,4610
NEWSMAX MEDIA INC -REDH,0200B,1167574,5000
BLACKROCK STRATEGIC BOND TR,BHD,1165216,6726
GLOBAL RESOURCE CORP,GBRC,1128949,2990
ENERGYTEC INC,EYTCQ,1202963,1311
TRITON EMISSION SOLUTIONS,DSOX,1143238,3590
FLYHT AEROSPACE SOLUTIONS,FLYLF,1403749,7373
TERRA INVENTIONS CORP,TERX,1141263,3711
MERIDIAN CO LTD,MRDAF,1135174,3845
APPLETON PAPERS INC,0082A,1144326,2670
PDVSA FINANCE LTD,0134A,1074512,6153
ADVANCE STORES CO INC,0211B,1061890,5531
INSIGHT MIDWEST LP,0213B,1110458,4841
HORIZON PCS INC,HZPS,1113920,4899
AFFINITY GAMING LLC,0215B,1499268,7990
CHOCTAW RESORT DEV ENTRPRISE,0047A,1141344,7011
NETFLIX INC,NFLX,1065280,7841
CAP ROCK ENERGY CORP,RKE,1129162,4911
STENA AB,0218B,1003517,4400
WHEELING ISLAND GAMING INC,0219B,1166041,7990
VERIDIAN CORP,VNX.1,1095901,7373
REGAL ENTERTAINMENT GROUP,RGC.1,1168696,7830
REPUBLIC AIRWAYS HLDGS INC,RJETQ,1159154,4512
COMMERCE CAPITAL TRUST II,CBHJP,1169716,6726
KYPHON INC,KYPH,1123313,3841
DOVER DOWNS GAMING & ENTMT,DDE,1162556,7990
HEWITT ASSOCIATES INC,HEW,1168478,7374
SRA INTERNATIONAL INC,SRX,906192,7370
ARO LIQUIDATION INC,AROPQ,1168213,5621
WRC MEDIA INC,0329B,1102329,2731
CALAVO GROWERS INC,CVGW,1133470,5140
NTS INC,NTS,1126216,4813
HCSB FINANCIAL CORP,HCFB,1091491,6020
SEVERN BANCORP INC,SVBI,868271,6035
PACIFIC ENERGY PARTNERS  -LP,PPX.1,1168397,4610
LIFE SCIENCES RESEARCH INC,LSR,1158833,2836
MARINA CAPITAL INC,MARN,1027983,6531
NUVEEN AMTFREE  MUNI CRDT,NVG,1090116,6726
NUVEEN INSD CA DIVID ADV MUN,NKL,1090117,6726
NUVEEN NY DIV ADV MUNI INCM,NKO,1090123,6726
NUVEEN AZ DIVID ADV MUN FD 2,NKR,1161069,6726
NUVEEN CT DIVID ADV MUN FD 2,NGK,1166572,6726
NUVEEN NJ DIVID ADV MUN FD 2,NUJ,1161070,6726
NUVEEN PA DIVID ADV MUN FD 2,NVY,1158729,6726
WESTERN ASSET PREMIER BD FD,WEA,1163792,6726
MOBILE SERVICES GROUP  -REDH,MSGI.1,1169684,4100
COMPUTER PROGRAMS & SYSTEMS,CPSI,1169445,7373
AMERICHOICE CORP  -REDH,AMCH,1122263,6324
MITOKOR INC  -REDH,MITO.1,1134433,2834
NUVEEN OH DIVID ADV MUN FD 3,NVJ,1165383,6726
VITAL LIVING INC,VTLV,1145700,2834
OVERSTOCK.COM INC,OSTK,1130713,5961
BUCK A DAY CO INC,3BKDYE,1166942,5961
GOLDSANDS DEVELOPMENT CO,GSDC,1168938,1000
EON LABS INC,ELAB,1168061,2834
TPT GLOBAL TECH INC,TPTW,1110283,1040
CITY NETWORK INC,CSNY,1140827,3663
LIPOSCIENCE INC,LPDX,1168197,8071
ONELINK CORP,OLNK,1166161,7374
SUBAYE INC,SBAY,1139570,7370
CENTRA FINANCIAL HOLDINGS,CFHZ,1099932,6020
AECOM,ACM,868857,8711
INVERESK RESEARCH GROUP INC,IRGI,1169358,8731
AMERICAN AMMUNITION/CA,AAMUQ,1123648,3480
PARTNERS TRUST FINL GRP INC,PRTR.,1163345,6035
BRONCUS TECHNOLOGIES-REDH,LUNX.1,1067807,3841
FELLOWS ENERGY LTD,FLWE,1144439,1311
PG&E NATL ENERGY GROUP INC,PCG2,1129989,4911
CTI MOLECULAR IMAGING INC,CTMI,1129552,3845
TIERONE CORP,TONEQ,1170605,6035
INTEROIL CORP,IOC,1221715,1311
MEREDITH ENTERPRISES INC,MPQ,858346,6798
HEALTHETECH INC,HETC,1141215,3845
EL CAPITAN PRECIOUS METALS,ECPN,1135202,1040
IDENIX PHARMACEUTICALS INC,IDIX,1093649,2836
RIOT BLOCKCHAIN INC,RIOT,1167419,7370
BEAR ISLAND PAPER CO LLC,0240B,1051249,2621
CHEVRON PHILLIPS CHEM CO LLC,CVX1,1127399,2911
COAXIALL LLC,0054A,1071003,4841
CONSOLIDATED CONTAINR CO LLC,0243B,1095531,3089
DIAMOND TRIUMPH AUTO GLASS,0244B,1109531,7500
DOMINO'S INC,DPZ1,1079458,5140
FAIRPOINT COMMUNICATIONS INC,FRP,1062613,4813
GENERAL CHEM INDL PRODS INC,0248B,1088382,2810
BIODELIVERY SCIENCES INTL,BDSI,1103021,2834
GEO SPECIALTY CHEMICALS INC,0249B,1072548,2860
GRAHAM PACKAGING CO INC,GRM,1478085,3089
GREAT LAKES DREDGE & DOCK CP,GLDD,1372020,1600
BAKERS FOOTWEAR GROUP INC,BKRSQ,1171032,5661
ARCADIA RESOURCES INC,KADR,1071941,8082
CHINA PHARMA HOLDINGS INC,CPHI,1106644,2834
INTL AEROSPACE ENTERPRS INC,IARO,1156293,3720
COSI INC,COSIQ,1171014,5812
GSI GROUP INC /DE,0252B,1050925,3523
HENRY CO,0253B,46916,2950
HOLLEY PERFORMANCE PRODS INC,0254B,1096536,3714
HOLLYWOOD CASINO SHREVEPORT,0255B,1096352,7011
TELEFLEX MEDICAL INC,TFX1,1519267,3842
HUNTSMAN INTL HOLDINGS LLC,0257B,1092825,2821
HUNTSMAN INTERNATIONAL LLC,HUN1,1089748,2800
INTERNATIONAL WIRE GRP HLDGS,ITWG,1637512,3357
ISG RESOURCES INC,0260B,1477381,3290
NEENAH FOUNDRY CO,NNHE1,1040599,3320
JACKSON PRODUCTS INC,0152A,906737,3231
JAMES CABLE PARTNERS LP,0263B,926285,4841
KEY COMPONENTS LLC,0150A,1065418,3677
NEW WORLD PASTA CO,0128A,1081878,2090
KINETEK INC,0265B,1029864,3621
NORTHLAND CABLE TELEVISION,0132A,1051920,4841
KNOWLES ELECTRONIC HLDGS INC,0148A,1099373,3842
KOPPERS INC,KOP1,916075,2860
LA QUINTA PROPERTIES INC,0269B,314661,6798
NUMATICS INC,0274B,1007298,3590
LAND O'LAKES INC,0270B,1032562,2000
LDM TECHNOLOGIES INC,0290B,1031417,3089
LUIGINOS INC,0291B,1083751,2030
MAJESTIC INVESTOR HLDGS LLC,0292B,1164766,7990
OMEGA CABINETS LTD,0133A,1043958,2430
MARINER ENERGY INC,ME.2,1022345,1311
PDV AMERICA INC,0276B,906422,2911
PENINSULA GAMING LLC,0051A,1299109,7990
MRS FIELDS ORIG COOKIES INC,0295B,1043482,5400
MTS INC,0296B,840302,5735
MUZAK LLC,0125A,1085321,7389
NEBRASKA BOOK CO INC,0050A,1056758,5940
PHOENIX COLOR CORP,0136A,1060279,2732
PLASTIPAK HOLDINGS INC,0280B,1161738,3089
PLIANT CORP,0137A,1049442,2670
PORTOLA PACKAGING INC,0282B,788983,3089
PRECISION PARTNERS INC,0283B,1086478,3590
PRINTPACK INC,0284B,202930,2673
QUALITY DISTRIBUTION INC,QLTY,922863,4213
PERKINS & MARIE CALLENDERS,0286B,1047040,5812
ROLLER BEARING CO OF AMERICA,0288B,1042465,3562
ROMACORP INC,0289B,1067457,5812
ROSE HILLS CO,0093A,1030376,7200
MARICULTURE SYSTEMS INC,MCUL,1000778,3569
ROYSTER-CLARK LTD,0912B,1088893,5190
STANADYNE CORP,0118A,1053439,3714
SUSQUEHANNA MEDIA CO,0119A,1088146,4832
TEAM HEALTH INC,0303B,1086795,7363
TELECOMUNICAC DE PUERTO RICO,AMX1,1089357,4813
TOWN SPORTS INTL INC,CLUB1,1029787,7990
TRANSDIGM GROUP INC,TDG,1260221,3728
TRAVELCENTERS OF AMERICA INC,TA,1378453,5500
TRUMP ATLANTIC CITY ASSOCS,0140A,897729,7990
US TIMBERLAND KLAMATHFAL LLC,0309B,1047739,800
UNIFRAX CORP,0121A,1021285,3290
UNITED INDUSTRIES CORP,SPB1,1083200,2870
UNIVERSAL COMPRESSION INC,EXH1,1057233,7359
VANGUARD HEALTH SYSTEMS INC,VHS,1045829,8062
WERNER HOLDING CO INC/DE,0314B,1056112,3490
WILLIAMS SCOTSMAN INC,0315B,869231,7359
WINDSOR WOODMNT BLK HWK REST,0316B,1119040,7990
WORLDWIDE FLIGHT SVCS INC,0317B,1095855,4581
XM SATELLITE RADIO INC,SIRI1,1116317,4899
PACIFICAP ENTMT HOLDINGS INC,PFEH,1129284,4841
ZIFF DAVIS MEDIA INC,0320B,1123652,2721
DIJJI CORP,DJJI,1158134,7372
G & G RETAIL INC,0321B,1088811,5621
BANK OF BERMUDA LTD,BBDA.,908844,6020
FORMFACTOR INC,FORM,1039399,3825
KIRKLAND'S INC,KIRK,1056285,5990
INPIXON,INPX,1529113,5045
IRELAND INC,IRLD,1166338,1000
LEAPFROG ENTERPRISES INC,LF,1138951,3944
PLATINUM UNDERWRITERS HLDG,PTP,1171500,6331
GLOBAL PHARMATECH INC,GBLP,1157300,2834
BLACKROCK VA MUNICIPAL BOND,BHV,1169034,6726
BLACKROCK NJ MUNICIPAL BOND,BLJ,1169031,6726
BLACKROCK MUNICIPAL BOND TR,BBK,1167467,6726
BLACKROCK CA MUNICIPAL BOND,BZA,1169027,6726
BLACKROCK MUNI BOND INV TR,BIE,1169028,6726
BLACKROCK MD MUNICIPAL BOND,BZM,1169029,6726
BLACKROCK NY MUNICIPAL BOND,BQH,1167470,6726
PIONEER HIGH INCOME TRUST,PHT,1166258,6726
MEGA BRANDS INC,MBLKF,1483393,3944
SAFETY INSURANCE GROUP INC,SAFT,1172052,6331
RED ROBIN GOURMET BURGERS,RRGB,1171759,5812
NOMOS CORP  -REDH,NMOS,943799,3841
INTELSAT INVESTMENTS SA,1631B,1156871,4899
USI HOLDINGS CORP,USIH,1102643,6411
KNOLOGY INC,KNOL,1096788,4899
HOME ENERGY SAVINGS CORP,HESV,1161723,4522
LIN MEDIA LLC,LIN.1,1575571,4833
INTERCHANGE MEDICAL INC,ICGM,1086218,7370
STRATEGIC ENERGY FUND,SEF.U,1295104,6726
LONCOR GOLD INC,LONCF,1472619,1040
SI INTERNATIONAL INC,SINT.1,1143363,7373
WAYCOOL3D INC -REDH,0333B,1120089,9995
MTC TECHNOLOGIES INC,MTCT,1172243,8711
PAVILION BANCORP INC,3PVLN,1112477,6020
CANANDAIGUA NATIONAL CORP,CNND,759458,6020
ENDEAVOR PHARMACEUT INC-REDH,3EDVR,1123624,2834
ACME TELEVISION LLC,0326B,1049510,4833
VENTURE HOLDINGS CO LLC,0328B,1088341,3714
EESTECH INC,EESH,1138867,3580
DOMINION LENDING CENTRES INC,BRLGF,1680024,6799
CINEMARK INC,CNK.2,1173463,7830
ORBITZ INC,ORBZ,1173495,4700
MARKWEST ENERGY PARTNERS LP,MWE,1166036,1311
INTERNATIONAL MONETARY SYS,ITNM,1097430,7389
CBAK ENERGY TECHNOLOGY INC,CBAT,1117171,3690
THANE INTERNATIONAL INC,THAN,1027882,5961
ADVANCED MEDICAL OPTICS INC,EYE.3,1168335,3845
AIM SELECT R E INCOME FUND,RRE,1168786,6726
COLLEGIS INC-REDH,3CLGS,1066995,7374
SYMBION INC,SMBI,1091312,8011
MONTPELIER RE HOLDINGS,MRH,1165880,6331
ROSS RIVER MINERALS INC,RRMLF,1340810,1000
SNB BANCSHARES INC/TX,SNBT,1293314,6020
ENPRO INDUSTRIES INC,NPO,1164863,3050
VERTEX AEROSPACE INC-REDH,VRT.2,1174310,4581
QWEST CORP,Q1,68622,4813
PACKAGING DYNAMICS CORP,PKDY,1171159,2670
NEXTMEDIA OPERATING INC,0129A,1169277,4832
NORTH AMER VAN LINES-REDH,0337B,1103280,4213
CANWEST MEDIA INC,0617B,1158672,4833
VOLUME SERVICES AMERICA INC,0339B,1086775,5812
PREMIUM STD FARMS-PRO FORMA,PORK.P,1021968,2011
IRON AGE HOLDINGS CORP,0342B,864292,5661
PENHALL INTERNATIONAL CORP,0343B,1070772,7350
NS8 CORP,NSEO,1156893,7372
YM BIOSCIENCES INC,YMI,1178347,2836
CME GROUP INC,CME,1156375,6200
CELERITY GROUP INC-REDH,3CLRT,1174620,3672
TORO OIL & GAS LTD,KEGYF,1622410,1311
WESTWOOD HOLDINGS GROUP INC,WHG,1165002,6282
CITADEL BROADCASTING CORP,CDELB,1174527,4832
NORTHEAST MORTGAGE CORP-REDH,0345B,1105306,6162
IMPAC MEDICAL SYSTEMS INC,IMPC.2,1026448,7372
GRAHAM PACKAGING CO INC -OLD,GPA,1061506,3089
XNRGI INC,NPWZ,1162816,3674
RIDER RESOURCES LTD,RRZ.Z.,800645,1311
NEXSTAR MEDIA GROUP,NXST,1142417,4833
MACREPORT NET INC,MRPT,1143994,7310
COX TECHNOLOGIES INC,COXT,65031,3829
CARROLL SHELBY INTL INC,CSBI,1171331,3711
MONTANA MILLS BREAD CO,MMX.3,1065506,2050
CALAMOS CONV OPP AND INC FD,CHI,1171471,6726
SYNOVA HEALTHCARE GROUP-REDH,SNVHQ,1316826,2835
NUVEEN QUALITY PFD INCM FD,JTP,1172168,6726
PIMCO CALIF MUN INCOME FD II,PCK,1170300,6726
PIMCO MUNICIPAL INCOME FD II,PML,1170299,6726
PIMCO NY MUN INCOME FUND II,PNI,1170311,6726
FREEPORT MCMRN OIL&GAS -REDH,FMOG,1645676,1311
INSIGHT HEALTH SVCS HLDG CP,ISGTQ,1145238,8071
FTD INC,FTD1,944537,7389
ION TRACK INC-REDH,3IONT,1174742,7389
WYNN RESORTS LTD,WYNN,1174922,7990
PEGASUS AIRCRFT PRTNRS II-LP,3YYCRC,849870,7359
NASDAQ INC,NDAQ,1120193,6200
SITO MOBILE LTD,SITOQ,1157817,7372
MINDEN BANCORP INC,MDNB,1501331,6020
FUTURE FINTECH GROUP INC,FTFT,1066923,7370
BRIGUS GOLD CORP,BRD,938113,1040
WORDLOGIC CORP,WLGC,1139614,7372
QUANTUM FUEL SYS TECH WORLDW,QTWWQ,1166380,3714
KIMBER RESOURCES INC,KBXRF,1294662,1000
MONUMENT MINING LTD,MMTMF,1406194,1040
UEX CORP,UEXCF,1289028,1090
AERO PERFORMANCE PRODUCTS,AERP,1160598,5812
ROTECH HEALTHCARE INC,ROHIQ,1175108,7350
CHESAPEAKE GOLD CORP,CHPGF,1394189,1040
EASYLINK INFO TECHNOL-REDH,EZEE,1158687,3661
BANC OF CALIFORNIA INC,BANC,1169770,6020
AMREIT INC,AMRE,1397807,6798
ATLANTIC LIBERTY FINANCIAL,ALFC.2,1172095,6035
CP&P INC -REDH,0350B,1175446,2621
HELIOS STRATEGIC MTG INCM FD,HSM,1173788,6726
SINOFRESH HEALTHCARE INC,SFSH,1171596,2834
CHINA AUTOMOTIVE SYSTEMS INC,CAAS,1157762,3714
BLACKROCK MUNI INCOME TR II,BLE,1176194,6726
BLACKROCK NY MUN INCM TR II,BFY,1176197,6726
BLACKROCK CA MUN INCM TR II,BCL,1176196,6726
INNVEST REAL ESTATE INVT TR,IVRVF,1626908,6798
LMP REAL ESTATE INCM FND INC,RIT,1173557,6726
TRAVELZOO,TZOO,1133311,7370
CIT GROUP INC,CIT,1171825,6020
KOOTENAY SILVER INC,KOOYF,1388891,1040
CHINA DIGITAL ANIMATION DEV,CHDA,928835,7812
HENNESSY ADVISORS INC,HNNA,1145255,6282
ACIES CORP,ACIE,1138462,7374
ENTERTAINMENT IS US INC,EIUS,1144254,9995
QUICK-MED TECHNOLOGIES INC,QMDT,1088206,2836
ACCREDITED HOME LENDERS HLDG,LEND.1,1174735,6162
WINDROSE MEDICAL PPTYS TR,WRS.2,1173942,6798
TIENS BIOTECH GROUP USA INC,TBV,1168556,2834
QUEBEC PRECIOUS METALS CORP,CJCFF,1254451,1040
OSIRIS CORP,OSRS,1122380,3531
DICKS SPORTING GOODS INC,DKS,1089063,5940
HANCOCK JOHN PFD INCOME FD,HPI,1176199,6726
ICTV BRANDS INC,ICTV,1076522,5961
MONARCH COMMUNITY BANCORP,MCBF,1169769,6035
NPTEST HOLDING CORP,NPTT,1261686,3825
DOVEBID INC-REDH,DOVE,1108244,7389
MEDIA SURVIVORS INC,MSUV,1135140,7310
BIOVEST INTERNATIONAL INC,BVTIQ,704384,2836
MARTIN MIDSTREAM PARTNERS LP,MMLP,1176334,5172
STEM GENETICS INC-REDH,0352B,1176356,8731
TISSERA INC,TSSR,1122573,2836
GALECTIN THERAPEUTICS INC,GALT,1133416,2834
YAK COMMUNICATIONS INC,YAKC,1084544,4813
COHEN & STEERS PREM INC RLTY,RPF,1170895,6726
EATON VANCE MUN BOND FD,EIM,1176984,6726
EATON VANCE NY MUN BOND FD,ENX,1177162,6726
EATON VANCE CA MUN BOND FD,EVM,1177161,6726
SANOMEDICS INC,SIMH,1501972,3845
SINOVAC BIOTECH LTD,SVA,1084201,2836
HORNBECK OFFSHORE SVCS INC,HOSSQ,1131227,4400
ESSTEC INC-REDH,EST.2,1177414,7370
NOVEON INTL INC-REDH,NOV.3,1177317,2891
ENLINK MIDSTREAM PARTNERS LP,ENLK,1179060,4923
CARTER'S INC,CRI,1060822,2300
PROVIDENT FINANCIAL SVCS INC,PFS,1178970,6036
MERIDIAN AUTOMOTIVE SYS-REDH,0355B,1177292,3714
VISTACARE INC,VSTA.1,787030,8082
FOCUS ENERGY TRUST,FET.Z,1275529,1311
TEXAS CAPITAL BANCSHARES INC,TCBI,1077428,6020
VIDABLE INC,VIBE.1,1096768,7370
WELLCHOICE INC,WC,1184702,6324
HARRINGTON WEST FINL GROUP,HWFGQ,1063997,6035
BODISEN BIOTECH INC,BBCZ,1178552,2870
ANGELCITI ENTERTAINMENT INC,AGCI,1084122,7372
OMEGA VENTURES GROUP INC,OMGV,741017,6500
OMEGA VENTURES INC,OMVN,1133153,6200
ONCOVISTA INNOVATIVE THERAP,OVIT,1094847,2835
GOLDEN OPPORTUNITY DEVEL,0360B,1083162,7011
TEDA TECHNOLOGIES INTL INC,0361B,1088212,9995
PRA GROUP INC,PRAA,1185348,6153
BRIDGE STREET FINANCIAL INC,OCNB.1,1182555,6020
SAIA INC,SAIA,1177702,4213
REFLECTKOTE INC,RKTE,1138593,2990
NATURAL GAS SERVICES GROUP,NGS,1084991,7359
COMMERCIAL CAPITAL BANCORP,CCBI,1184818,6035
RXBAZAAR INC,RXBZ,1115295,5122
SYNERGY FINANCIAL GROUP INC,SYNF,1263766,6035
CCSB FINANCIAL CORP,CCFC,1189356,6035
SPECTRA SYSTEMS CORP-REDH,SPSY.1,1168106,7370
DAIR VENTURES INC,DAIR,1139511,9995
SOUTH TEXAS OIL CO,STXXQ,1288946,1311
ASKMENOW INC,AKMN,1104538,4899
MONEY CENTERS OF AMERICA INC,MCAMQ,1165271,6099
NUVEEN PFD SECURITIES INCM,JPS,1176433,6726
OCATA THERAPEUTICS INC,OCAT,1140098,2836
CIMAREX ENERGY CO,XEC,1168054,1311
NEUBERGER BERMAN CA INT MUN,NBW,1178840,6726
NEUBERGER BERMAN NY INT MUN,NBO,1178841,6726
NEUBERGER BERMAN MUNI FD,NBH,1178839,6726
NEW ENERGY SYSTEMS GROUP,NEWN,1144320,3690
NUVEEN CT DIV ADV MUN FD 3,NGO,1177218,6726
NUVEEN MD DIV ADV MUN FD 3,NWI,1177214,6726
NUVEEN GA QUAL MUN INCM FD,NKG,1177219,6726
NUVEEN NC DIV ADV MUN FD 3,NII,1177216,6726
NUVEEN AZ DIV ADV MUN FD 3,NXE.1,1177212,6726
PANORO MINERALS LTD,POROF,1404640,1000
WORLD HEALTH ALTERNATIVES,WHAIQ,1169709,7363
ONTRAK INC,OTRK,1136174,8060
MAXIMUM DYNAMICS INC,MXDY,1166529,7372
TFI INTERNATIONAL INC,TFII,1588823,4210
MONARCH STAFFING INC,MSTF,1177326,7361
BANK FIRST CORP,BFC,1746109,6020
NATURAL RESOURCE PARTNERS LP,NRP,1171486,6795
ENBRIDGE ENERGY MGMT LLC,EEQ,1173911,4610
OWNERTEL INC,FCAA,1144546,4899
SUNWIN STEVIA INTL INC,SUWN,806592,2090
SEAGATE TECHNOLOGY HOLDINGS,STX,1137789,3572
DADE BEHRING HOLDINGS INC,DADE,1183920,2835
WESTERN SILVER CORP,WTZ,896066,1000
BANK OF FLORIDA CORP,BOFLQ,1082368,6020
BLACKROCK MUN INC QLTY TR,BYM,1181187,6726
BLACKROCK CA INS MUN INC TR,BCK.2,1181027,6726
BLACKROCK NY MUN INC QLTY TR,BSE,1181024,6726
BLACKROCK MUN INC INVST QLTY,BAF,1181026,6726
OVERHILL FARMS INC,OFI,1101020,2030
PIMCO MUNICIPAL INCM FD III,PMX,1181506,6726
PIMCO CALIF MUN INC FD III,PZC,1181504,6726
PIMCO NY MUN INCOME FUND III,PYN,1181505,6726
DWS RREEF REAL ESTATE FUND,SRQ,1179126,6726
BODY ART & SCIENCE INC-REDH,0382B,1196480,5122
FIRST AMERN MN MUN INC FD II,MXN,1183829,6726
BROOKE CORP,BXXXQ,834408,6411
INPHONIC INC,INPC,1133324,9995
NORAMPAC INC,0383B,1058970,2650
TERRA ENERGY & RESOURCE TECH,TEGR,1084828,1382
INAMCO INTERNATIONAL CORP,IICC,1114959,2834
CHINA NORTH EAST PETRO HLDG,CNEP,787251,1311
MPG OFFICE TRUST INC,MPG.3,1204560,6798
INTEGRATED ALARM SVCS GROUP,IASG,1200022,6159
NEPHROS INC,NEPH,1196298,3841
PARKE BANCORP INC,PKBK,1315399,6020
NUVEEN CALIF AMT-FREE QTY,NKX,1195738,6726
NUVEEN INS FL TX FR ADV MUN,NWF,1196362,6726
NUVEEN NY AMT-FREE QL MUN,NRK,1195739,6726
NUVEEN AMT-FREE QU MUNI INCM,NEA,1195737,6726
NUVEEN MA AMT-FREE MUNI INCM,NGX,1196366,6726
INYX INC,IYXI,1114241,2834
LOCATEPLUS HOLDINGS CORP,LPHCQ,1160084,7370
TRUE NORTH GEMS INC,TNGMF,1222659,1400
AVEC CORP,AVEC,1144130,3714
OHIO LEGACY CORP,OLCB,1096654,6020
AEW REAL ESTATE INCOME FUND,RIF.1,1191256,6726
EATON VANCE MUN BOND FD II,EIV,1196867,6726
EATON VANCE CA MUN BD FD II,EIA,1196869,6726
EATON VANCE INS FL PLUS MUN,EIF.2,1196870,6726
EATON VANCE MA MUN BOND FD,MAB,1196871,6726
EATON VANCE OH MUN BOND FD,EIO,1196876,6726
EATON VANCE MI MUN BOND FD,MIW,1196872,6726
EATON VANCE NJ MUN BOND FD,EMJ,1196874,6726
EATON VANCE NY MUN BD FD II,NYH,1196875,6726
EATON VANCE PA MUN BOND FD,EIP,1196877,6726
HANCOCK JOHN PREF INCM FD II,HPF,1189740,6726
DENALI FUND INC,DNY,1187520,6726
HALOZYME THERAPEUTICS INC,HALO,1159036,2836
WARREN RESOURCES INC,WRESQ,892986,1311
BROOKFIELD RESIDENTIAL PPTYS,BRP.2,1502554,1531
WMC RESOURCES LTD,WMC.1,1208222,1000
HARVEST ENERGY TRUST,HTE,1309799,1311
METRO ONE DEVELOPMENT INC,MTRO,1126302,3679
TEXAS GENCO HOLDINGS INC,TGN,1188303,4911
IPAYMENT INC,0030B,1140184,7389
COMBIMATRIX CORP,CBMX,1383183,8071
SOFTBRANDS INC,SBN,1311926,7372
TENARIS SA,TS,1190723,3317
CONVERSE INC,CNVS,1209807,3021
ROCA MINES INC,ROCAF,1447402,1000
WOODSTOCK HOLDINGS INC,WSFL,1095373,6211
WACHOVIA PFD FUNDING CORP,WNA.P,1188382,6798
PLURISTEM THERAPEUTICS INC,PSTI,1158780,2836
ACCPAC INTERNATIONAL -REDH,3ACPC.1,1063239,7372
LAKE SHORE GOLD CORP,LSG,1279944,1040
NUVEEN QUALITY PFD INCM FD 3,JHP,1200446,6726
FEDERATED PREM INTR MUN INC,FPT,1202806,6726
FEDERATED HERMES PREMIER MUN,FMN,1199004,6726
FIRST BANCSHARES INC/MS,FBMS,947559,6020
DIGUANG INTL DEVELOPMENT CO,DGNG,1158722,3674
PIMCO CORP & INCM OPPTY FUND,PTY,1190935,6726
BIMI INTERNATIONAL MEDCL INC,BIMI,1213660,5122
CRDENTIA CORP,CRDOQ,1073857,7363
MOLINA HEALTHCARE INC,MOH,1179929,6324
ICOP DIGITAL INC,ICOPQ,1094572,3651
STERLING CHEMICALS INC,SCHI,1014669,2860
TODCO,THE,1210697,1381
ENDURANCE SPECIALTY HOLDINGS,ENH,1179755,6331
IN TOUCH MEDIA GROUP INC,ITOU,1194842,8700
YAMHILL VALLEY VINEYRDS-REDH,3WINE,1212236,2084
ARMKEL LLC,0388B,1140590,2844
SHANNON INTERNATIONAL INC,SHIR,1081047,7372
NEARCTIC NICKEL MINES INC,NNMIF,1023842,1000
CIA DE SANEAMENTO DO PARANA,0391B,1171262,4941
FIRST NATIONAL ENERGY CORP,FNEC,1142129,4911
MEDICAL MEDIA TELEVISION INC,MMTV,1235899,2741
REDLINE PERFORMANCE PRODS,REDL,1121131,3790
FLAHERTY & CRUMRINE PFD SECS,FFC,1174164,6726
TELKOM SA SOC LTD,TLKGY,1214299,4813
CHINA YONGXIN PHARMA INC,CYXN,1087848,5122
AT&T MOBILITY LLC,T2,1130452,4812
NBC ACQUISITION CORP,0395B,1056756,5940
PERPETUAL ENERGY INC,PMGYF,1177293,1311
DIGITALNET HOLDINGS INC,DNET,1160241,7373
TINKA RESOURCES LTD,TKRFF,1368845,1000
CENTERPLATE INC,CVP,1086774,5812
MOD-PAC CORP,MPAC.2,1191857,2631
CALIFORNIA GRAPES INTL INC,CAGR,1098865,5141
ALAMOS GOLD INC -OLD,AGI.3,1178819,1040
BLACKROCK CR ALLOC INCM III,BPP,1213169,6726
WELLS FARGO INCOME OPPOR FD,EAD,1210123,6726
LUKE ENERGY LTD,LKE.,1268947,1311
SUN AMERICAN BANCORP,SAMB,1042521,6020
TRUE RELIGION APPAREL INC,TRLG,1160858,2300
AMERICAN FINANCIAL REALTY TR,AFR,1193558,6798
HUDSON GLOBAL INC,HSON,1210708,7361
AXIS CAPITAL HOLDINGS LTD,AXS,1214816,6331
CHINA NATURAL GAS INC,CHNGQ,1120830,4923
BLACKROCK CR ALLOC INC TR II,PSY.2,1215664,6726
RESOLUTION PERFORMANCE PROD,0402B,1132423,2821
VIRTUS ALLIANZGI CONV FD,NCV,1214935,6726
NUVEEN PFD INCM OPPTYS FD,JPC,1216583,6726
MITCHELLS & BUTLER PLC,MBPFY,1224480,5810
ALGOS PHARMACEUTICAL CORP,ALGO,924862,2834
PETER KIEWIT SONS INC,0404B,1044430,1600
EAGLE FINANCIAL SERVICES INC,EFSI,880641,6020
