conm,tic,cik,sic
AMERICAN CRYSTAL SUGAR CO,2388B,4828,2060
AMERICAN CYANAMID CO,ACY.1,4829,2800
AMERICAN CYTOGENETICS,3ACYGE,4833,8071
AMERICAN DIAGNOSTICS CORP,ADGN,351923,2835
ADT INC -OLD,ADT.2,4854,7380
AMERICAN ATLANTIC CO,AMRL,201076,1600
AMERICAN DYNAMICS CORP,AMDC.,4886,4922
US ECOLOGY INC,ECOL,1783400,4955
AMERICAN ELECTRIC POWER CO,AEP,4904,4911
MANSFELDER METALS LTD,CMQ,352281,3350
AMERICAN EMERGICENTER INC,4307B,726987,8011
AMERICAN VANTAGE COMPANIES,AVCS,315428,7822
AMERICAN EXPLORATION CO,AX.1,715428,1311
AMERICAN EXPRESS CO,AXP,4962,6141
AMERICAN EXPRESS CREDIT CORP,AXP1,4969,6153
AFLAC INC,AFL,4977,6321
AMERICAN FAMILY PIZZA INC,4644B,727747,5812
AMERICAN FIBER OPTICS CORP,FIBR.,350842,3220
AMERICAN EDUCATIONAL COMPUTR,AEDC.,724940,7372
AMERICAN FILTRONA CORP,AFIL,5009,3080
AMERICAN FRUCTOSE  -CL A,AFC.A,725552,2040
AMERICAN GARDEN PRODUCTS INC,AGP.2,5085,100
AMERICAN GENERAL CORP,AGC.1,5103,6311
AMERICAN GREETINGS  -CL A,AM.1,5133,2771
AMERICAN GUARANTY CORP,2226B,316516,6172
ENCORE GROUP INC,3EGRP,276259,3690
AMERICAN HERITAGE LIFE INVS,AHL.2,5172,6311
AMDURA CORP,ADU,5177,3420
AMERICAN HOME INDUSTRIES CP,3AHID,5185,2452
DIVERSICARE CP OF AMER,DIVC.1,92057,8051
WYETH,WYE,5187,2834
AMERICAN HOME SHIELD,SVM1,5193,7389
AMERICAN HOSPITAL MGMT CORP,1480B,5197,8062
AMERICAN HOSPITAL SUPPLY,AHS.1,215073,3841
AMERICAN INDUSTRIES LTD,3068B,276298,1040
AMERITECH CORP,AIT.1,732715,4813
AMERICAN INTERNATIONAL GROUP,AIG,5272,6331
AMERICAN INTL PICTURES INC,ANP,5281,7812
AMERICAN INVESTMENT CO,AIC.2,5294,6141
HADERA PAPER LTD,HAIPF,5337,2621
AMERICAN LAFRANCE INC,AMLF,5343,3560
AMERICAN LAND CO,2263B,5345,2300
CRUISE AMERICA INC,RVR.2,733775,7510
AMERICAN LIST CORP,AMZ.1,5385,7331
AMERICAN LOCKER GROUP INC,ALGI,8855,2540
DAMON GROUP INC,DMNG,36127,8071
AMERICAN MAIZE-PRODS  -CL A,AZE.A,5405,2040
FOUR CORNERS FINANCIAL CORP,2264B,230014,7389
AMERICAN MANAGEMENT SYSTEMS,AMSY,1318060,7370
AMERICAN MARINE LTD,AMMA.1,5421,3730
AMERICAN MEDCARE CORP,3HLDFV,716384,9995
AMERICAN MEDICAL SERVICES,AMSR.,1025589,8051
AMERICAN MEDICORP INC,AAM.1,5442,8060
AMERICAN MOBILE SYS,AMSE.,714593,4812
AMERICAN MORTGAGE & INVT CO,2265B,5486,6552
AMERICAN MOTORS CORP,AMO.1,5496,3711
GALLERY OF HISTORY INC,HIST,763730,5990
AMERICAN MUSIC STORES INC,AMUS.1,5505,5900
AMERICAN MEDICAL ALERT CORP,AMAC,700721,7380
AMERICAN NATIONAL GROUP INC,ANAT,1801075,6311
AMERICAN NATIONAL PETROLEUM,ANPC.,350898,1311
AMERICAN NATURAL RESOURCES,ANR.2,720685,4922
AMERICAN NUCLEAR CORP,3ANUCE,5550,9995
AMERICAN NUCLEONICS CORP,AMNU.,5549,3663
AMERICAN OIL & GAS,AOG.2,746896,4923
AMERICAN PACIFIC CORP,APFC,350832,2810
AMERICAN PACIFIC INTL INC,APIC.1,5582,1311
AMERICAN PACEMAKER CORP,APMK,205024,3845
AMERICAN PACESETTER,AEC.2,5577,1531
FINA INC  -CL A,FI.2,5611,2911
AMERICAN PHYSICIANS SVC GP,AMPH.1,724024,6331
AMERICAN PLAN CORP,APN.4,5632,6331
AMERICAN POLYMERS INC,1462B,5647,3089
AMERICAN PRECISION INDS,APR.,5657,3621
APL LTD,APL.4,725457,4412
AMERAC ENERGY CORP,AMC.2,5696,1311
AMERICAN REALTY INVESTORS,ARL,1102238,6512
AMERICAN RECREATION CENTERS,AMRC.1,5719,7900
AMERICAN RESOURCES GROUP INC,3ARGP,225255,5080
AMERICAN RESOURCES MGMT CORP,ARMCE,1415813,1311
HUDSONS GRILL AMER,3HDSGE,729545,6794
AMERICAN SVGS/FL FSB,ASFL,718111,6035
AMERICAN SCIENCE ENGINEERING,ASEI,5768,3844
AMERICAN SEATING CO,AMZ.2,866216,2520
AMERICAN SECURITY CORP,ASEC.,5796,6020
AMERICAN SERVICE CORP,1039B,5806,7200
AMERICAN SHARED HSPTL SERV,AMS,744825,8090
AMERICAN SHIP BUILDING CO,3ASBG,5818,3730
AMERICAN SNACKS INC,1966B,5831,5812
